model_name,beam_size,file,ground_truth,prediction,asr_time,total_time,avg_conf,wer,cer
small,1,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續已辯明,0.42,0.76,0.8200,1.7143,1.4000
small,1,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續已辯明,0.17,0.44,0.8200,0.0833,0.0476
small,1,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,合令的滿頭霧水簽名是不需要開放或修法才能代替蓋章等,0.16,0.56,0.8804,0.2143,0.1304
small,1,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命稀使者的尿液缺乏民定的檢驗單位至遠警辦,0.16,0.43,0.7614,0.5000,0.2174
small,1,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,案有困擾的問題經報紙披露後彰化縣西湖分局昨天接獲上級指示,0.16,0.46,0.8483,0.2857,0.0769
small,1,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.16,0.40,0.9306,0.0000,0.0000
small,1,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很,0.15,0.37,0.9243,0.0909,0.0556
small,1,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.15,0.45,0.9455,0.0000,0.0000
small,1,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,武器經常也要一段試驗期間太快斷定他初期的可靠,0.16,0.44,0.8903,0.3077,0.2857
small,1,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日香東芝諸事會社轉讓索吃臺光公司股,0.16,0.39,0.7658,0.4545,0.2941
small,1,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.17,0.42,0.9172,0.0000,0.0000
small,3,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續以辯明,0.17,0.57,0.8244,1.7143,1.4000
small,3,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續以辯明,0.16,0.46,0.8244,0.1667,0.0952
small,3,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,合令的滿頭霧水簽名是不需要開放或修法才能代替蓋章等,0.16,0.50,0.8804,0.2143,0.1304
small,3,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命稀使者的尿液缺乏民定的檢驗單位致遠警辦,0.15,0.50,0.7977,0.4167,0.1739
small,3,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,案有困擾的問題經報紙披露後彰化縣西湖分局昨天接獲上級指示,0.16,0.56,0.8483,0.2857,0.0769
small,3,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.16,0.42,0.9306,0.0000,0.0000
small,3,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很,0.16,0.43,0.9243,0.0909,0.0556
small,3,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.16,0.46,0.9455,0.0000,0.0000
small,3,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定他初期的可靠,0.16,0.50,0.8917,0.2308,0.1905
small,3,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日香東芝諸事會社轉讓索吃臺光公司股,0.16,0.45,0.7658,0.4545,0.2941
small,3,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.15,0.46,0.9172,0.0000,0.0000
small,5,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續已變名,0.16,0.50,0.8280,1.7143,1.4000
small,5,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續已變名,0.16,0.48,0.8280,0.0833,0.0952
small,5,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,合令的滿頭霧水簽名是不需要開放或修法才能代替蓋章等,0.17,0.56,0.8804,0.2143,0.1304
small,5,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命稀使者的尿液缺乏民定的檢驗單位致遠警辦,0.17,0.50,0.7977,0.4167,0.1739
small,5,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,案有困擾的問題經報紙披露後彰化縣西湖分局則接獲上級指示,0.17,0.58,0.8798,0.1429,0.0769
small,5,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.16,0.49,0.9306,0.0000,0.0000
small,5,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準,0.16,0.46,0.9369,0.1818,0.2222
small,5,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.16,0.46,0.9455,0.0000,0.0000
small,5,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定他初期的可靠,0.17,0.50,0.8917,0.2308,0.1905
small,5,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日香東芝諸事會社轉讓索吃臺光公司股,0.17,0.49,0.7658,0.4545,0.2941
small,5,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.17,0.49,0.9172,0.0000,0.0000
medium,1,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續以辯明,0.47,1.07,0.9292,1.7143,1.4000
medium,1,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續以辯明,0.34,0.91,0.9292,0.1667,0.0952
medium,1,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章的,0.34,0.99,0.9380,0.0714,0.0435
medium,1,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命吸使者的尿液缺乏明定的檢驗單位致遠警辦無法進行檢驗,0.33,1.10,0.7579,0.5000,0.3478
medium,1,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,0.33,1.01,0.9207,0.0000,0.0000
medium,1,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.32,0.86,0.9417,0.0000,0.0000
medium,1,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很長時間,0.34,0.88,0.9078,0.0909,0.1111
medium,1,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.33,0.87,0.9499,0.0000,0.0000
medium,1,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,武器經常也要一段試驗期間太快斷定他出奇的可靠,0.34,0.95,0.8730,0.2308,0.1905
medium,1,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日商東芝諸事會社轉讓鎖持臺光公司股票,0.34,0.90,0.8074,0.4545,0.2353
medium,1,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.34,0.95,0.9270,0.0000,0.0000
medium,3,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續以辯明,0.46,1.10,0.9292,1.7143,1.4000
medium,3,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續以辯明,0.33,1.00,0.9292,0.1667,0.0952
medium,3,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章的,0.34,1.09,0.9380,0.0714,0.0435
medium,3,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命吸使者的尿液缺乏明定的檢驗單位致遠僅半無症狀,0.40,1.19,0.8061,0.4167,0.3043
medium,3,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,0.33,1.13,0.9207,0.0000,0.0000
medium,3,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.33,0.90,0.9417,0.0000,0.0000
medium,3,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很長的時間,0.34,0.97,0.8794,0.1818,0.1667
medium,3,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.34,0.95,0.9499,0.0000,0.0000
medium,3,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定他初期的可靠性,0.35,1.07,0.8785,0.3077,0.2381
medium,3,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日商東芝珠市會社轉讓鎖匙臺光公司股票,0.35,1.05,0.8042,0.5455,0.2353
medium,3,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.35,1.17,0.9270,0.0000,0.0000
medium,5,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續以辯明,0.54,1.35,0.9292,1.7143,1.4000
medium,5,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續以辯明,0.36,1.10,0.9292,0.1667,0.0952
medium,5,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章的,0.34,1.19,0.9380,0.0714,0.0435
medium,5,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命吸使者的尿液缺乏明定的檢驗單位致援緊辦案,0.35,1.31,0.8120,0.3333,0.1739
medium,5,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,0.34,1.25,0.9207,0.0000,0.0000
medium,5,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.34,0.99,0.9417,0.0000,0.0000
medium,5,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很長的時間,0.34,1.00,0.8794,0.1818,0.1667
medium,5,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.35,1.01,0.9499,0.0000,0.0000
medium,5,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定它初期的可靠性,0.36,1.10,0.8774,0.2308,0.1905
medium,5,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日商東芝珠市會社轉讓鎖匙臺光公司股票,0.35,1.04,0.8042,0.5455,0.2353
medium,5,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.36,1.09,0.9270,0.0000,0.0000
large-v2,1,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續以辨明,0.57,1.59,0.9050,1.7143,1.4000
large-v2,1,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續以辨明,0.56,1.60,0.9050,0.0833,0.0476
large-v2,1,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,而令人滿頭霧水簽名是不需要開放或修法才能代替蓋章的,0.57,1.82,0.9189,0.1429,0.0870
large-v2,1,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命西使者的尿液缺乏明定的檢驗單位致遠警辦無法接受,0.59,1.89,0.7338,0.4167,0.3043
large-v2,1,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,0.60,1.88,0.9527,0.0000,0.0000
large-v2,1,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.60,1.60,0.9529,0.0000,0.0000
large-v2,1,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很長的時間,0.61,1.64,0.8958,0.1818,0.1667
large-v2,1,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.61,1.61,0.9038,0.0000,0.0000
large-v2,1,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定他初期的可靠性,0.61,1.76,0.9199,0.3077,0.2381
large-v2,1,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日商東芝珠市會社轉讓所持臺光公司股票,0.62,1.67,0.8282,0.4545,0.1176
large-v2,1,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主管有多人,0.62,1.70,0.8499,0.1818,0.0526
large-v2,3,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續以辨明,0.61,1.82,0.9277,1.7143,1.4000
large-v2,3,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續以辨明,0.66,1.85,0.9277,0.0833,0.0476
large-v2,3,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,而令人滿頭霧水簽名是不需要開放或修法才能代替蓋章的,0.60,2.01,0.9189,0.1429,0.0870
large-v2,3,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命吸食者的尿液缺乏明定的檢驗單位致原警辦,0.60,2.04,0.8595,0.1667,0.0435
large-v2,3,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,0.60,2.06,0.9527,0.0000,0.0000
large-v2,3,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.61,1.72,0.9529,0.0000,0.0000
large-v2,3,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很長的時間,0.60,1.81,0.9059,0.1818,0.1667
large-v2,3,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.63,1.75,0.9038,0.0000,0.0000
large-v2,3,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定他初期的可靠性,0.62,1.88,0.9199,0.3077,0.2381
large-v2,3,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日商東芝珠市會社轉讓索池臺光公司股票,0.62,1.80,0.8359,0.5455,0.2353
large-v2,3,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主管有多人,0.62,1.81,0.8499,0.1818,0.0526
large-v2,5,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續以辨明,0.66,1.90,0.9050,1.7143,1.4000
large-v2,5,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續以辨明,0.62,1.85,0.9050,0.0833,0.0476
large-v2,5,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,而令人滿頭霧水簽名是不需要開放或修法才能代替蓋章的,0.61,2.05,0.9189,0.1429,0.0870
large-v2,5,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命吸食者的尿液缺乏明定的檢驗單位致原警辦,0.62,2.07,0.8595,0.1667,0.0435
large-v2,5,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,0.61,2.09,0.9527,0.0000,0.0000
large-v2,5,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.62,1.77,0.9529,0.0000,0.0000
large-v2,5,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很長的時間,0.61,1.91,0.9059,0.1818,0.1667
large-v2,5,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.64,1.85,0.9038,0.0000,0.0000
large-v2,5,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定他初期的可靠性,0.66,2.03,0.9199,0.3077,0.2381
large-v2,5,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日商東芝珠市會社轉讓索池臺光公司股票,0.66,1.90,0.8359,0.5455,0.2353
large-v2,5,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主管有多人,0.64,2.04,0.8499,0.1818,0.0526
Systran/faster-whisper-large-v3,1,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續以便民,0.60,1.70,0.9068,1.7143,1.4000
Systran/faster-whisper-large-v3,1,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續以便民,0.61,1.71,0.9068,0.1667,0.1429
Systran/faster-whisper-large-v3,1,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,而令人滿頭霧水簽名是不需要開放或修法才能代替蓋章的,0.62,2.04,0.9500,0.1429,0.0870
Systran/faster-whisper-large-v3,1,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安菲他命吸食者的尿液缺乏明定的檢驗單位致遠景半,0.61,1.97,0.9193,0.3333,0.1739
Systran/faster-whisper-large-v3,1,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,有困擾的問題經報紙披露後彰化縣西湖分局則接獲上級指示,0.63,2.02,0.9259,0.0714,0.0385
Systran/faster-whisper-large-v3,1,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.63,1.69,0.9914,0.0000,0.0000
Systran/faster-whisper-large-v3,1,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很長時間的時間,0.63,1.72,0.8793,0.2727,0.2778
Systran/faster-whisper-large-v3,1,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.65,1.78,0.9827,0.0000,0.0000
Systran/faster-whisper-large-v3,1,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定他出奇的可靠性,0.64,1.82,0.9119,0.2308,0.1429
Systran/faster-whisper-large-v3,1,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日商東芝珠式會社轉讓所持臺光公司股票,0.64,1.77,0.9103,0.1818,0.0588
Systran/faster-whisper-large-v3,1,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.64,1.81,0.9097,0.0000,0.0000
Systran/faster-whisper-large-v3,3,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續已辨明,0.58,1.82,0.9268,1.7143,1.4000
Systran/faster-whisper-large-v3,3,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續已辨明,0.61,1.85,0.9268,0.0000,0.0000
Systran/faster-whisper-large-v3,3,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章的,0.62,2.02,0.9400,0.0714,0.0435
Systran/faster-whisper-large-v3,3,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命吸食者的尿液缺乏明定的檢驗單位致遠景半,0.62,2.04,0.9182,0.1667,0.1304
Systran/faster-whisper-large-v3,3,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,有困擾的問題經報紙披露後彰化縣西湖分局則接獲上級指示,0.63,2.19,0.9259,0.0714,0.0385
Systran/faster-whisper-large-v3,3,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.64,1.79,0.9914,0.0000,0.0000
Systran/faster-whisper-large-v3,3,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很長時間,0.63,1.96,0.9303,0.0909,0.1111
Systran/faster-whisper-large-v3,3,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.64,1.85,0.9827,0.0000,0.0000
Systran/faster-whisper-large-v3,3,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定他出奇的可靠性,0.65,1.93,0.9119,0.2308,0.1429
Systran/faster-whisper-large-v3,3,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日商東芝珠式會社轉讓所持臺光公司股票,0.65,1.88,0.9103,0.1818,0.0588
Systran/faster-whisper-large-v3,3,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.65,1.92,0.9097,0.0000,0.0000
Systran/faster-whisper-large-v3,5,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續已辨明,0.63,1.93,0.9268,1.7143,1.4000
Systran/faster-whisper-large-v3,5,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續已辨明,0.62,1.89,0.9268,0.0000,0.0000
Systran/faster-whisper-large-v3,5,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章的,0.63,2.06,0.9400,0.0714,0.0435
Systran/faster-whisper-large-v3,5,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命吸食者的尿液缺乏明定的檢驗單位致遠景半,0.62,2.12,0.9182,0.1667,0.1304
Systran/faster-whisper-large-v3,5,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,有困擾的問題經報紙披露後彰化縣西湖分局則接獲上級指示,0.63,2.22,0.9259,0.0714,0.0385
Systran/faster-whisper-large-v3,5,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.64,1.84,0.9914,0.0000,0.0000
Systran/faster-whisper-large-v3,5,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很長時間,0.62,1.86,0.9303,0.0909,0.1111
Systran/faster-whisper-large-v3,5,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.65,1.92,0.9827,0.0000,0.0000
Systran/faster-whisper-large-v3,5,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定他出奇的可靠性,0.66,1.98,0.9119,0.2308,0.1429
Systran/faster-whisper-large-v3,5,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日商東芝珠式會社轉讓所持臺光公司股票,0.66,1.98,0.9103,0.1818,0.0588
Systran/faster-whisper-large-v3,5,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.64,1.96,0.9097,0.0000,0.0000
